"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2023","2,523","2,493","2,533","2,483","9.03K","1.20%"
"02/16/2023","2,493","2,483","2,503","2,483","18.85K","0.40%"
"02/15/2023","2,483","2,483","2,493","2,483","17.25K","0.00%"
"02/14/2023","2,483","2,493","2,493","2,473","10.03K","0.40%"
"02/13/2023","2,473","2,473","2,493","2,453","11.63K","0.00%"
"02/10/2023","2,473","2,473","2,473","2,443","22.96K","0.00%"
"02/09/2023","2,473","2,463","2,473","2,423","89.65K","0.81%"
"02/08/2023","2,453","2,443","2,463","2,443","4.21K","0.41%"
"02/07/2023","2,443","2,443","2,453","2,433","41.92K","0.41%"
"02/06/2023","2,433","2,433","2,483","2,413","49.84K","0.00%"
"02/03/2023","2,433","2,423","2,443","2,403","15.64K","0.41%"
"02/02/2023","2,423","2,433","2,443","2,413","11.13K","-0.41%"
"02/01/2023","2,433","2,443","2,443","2,413","10.43K","0.41%"
"01/31/2023","2,423","2,423","2,443","2,413","12.03K","0.00%"
"01/30/2023","2,423","2,433","2,443","2,413","117.13K","-0.41%"
"01/27/2023","2,433","2,433","2,433","2,413","67.59K","0.00%"
"01/26/2023","2,433","2,413","2,433","2,413","20.66K","0.00%"
"01/25/2023","2,433","2,443","2,443","2,393","15.24K","0.41%"
"01/24/2023","2,423","2,413","2,423","2,383","61.87K","0.41%"
"01/20/2023","2,413","2,403","2,423","2,393","6.22K","0.00%"
"01/19/2023","2,413","2,393","2,433","2,393","35.20K","0.83%"
"01/18/2023","2,393","2,413","2,443","2,383","37.20K","-2.04%"
"01/17/2023","2,443","2,423","2,453","2,393","51.54K","0.82%"
"01/16/2023","2,423","2,473","2,473","2,413","20.16K","0.00%"
"01/13/2023","2,423","2,423","2,433","2,403","44.12K","0.00%"
"01/12/2023","2,423","2,453","2,453","2,294","145.50K","-1.22%"
"01/11/2023","2,453","2,463","2,463","2,413","16.35K","1.23%"
"01/10/2023","2,423","2,483","2,483","2,413","63.88K","-3.19%"
"01/09/2023","2,503","2,503","2,503","2,493","9.03K","-0.79%"
"01/06/2023","2,523","2,483","2,543","2,483","12.64K","1.61%"
"01/05/2023","2,483","2,523","2,553","2,483","31.99K","-1.97%"
"01/04/2023","2,533","2,573","2,573","2,533","5.32K","-1.55%"
"01/03/2023","2,573","2,503","2,613","2,503","6.32K","3.20%"
"01/02/2023","2,493","2,643","2,643","2,463","34.90K","-5.66%"
"12/30/2022","2,643","2,603","2,643","2,573","21.56K","1.53%"
"12/29/2022","2,603","2,613","2,613","2,533","5.21K","-0.38%"
"12/28/2022","2,613","2,623","2,633","2,613","3.31K","-0.38%"
"12/27/2022","2,623","2,593","2,623","2,593","1.71K","1.15%"
"12/26/2022","2,593","2,623","2,623","2,583","3.11K","-0.76%"
"12/23/2022","2,613","2,613","2,613","2,563","38.51K","0.00%"
"12/22/2022","2,613","2,543","2,633","2,543","29.28K","2.34%"
"12/21/2022","2,553","2,573","2,573","2,533","14.44K","-0.78%"
"12/20/2022","2,573","2,583","2,583","2,573","1.71K","-0.39%"
"12/19/2022","2,583","2,573","2,583","2,513","9.23K","0.00%"
"12/16/2022","2,583","2,593","2,593","2,573","2.41K","-0.38%"
"12/15/2022","2,593","2,583","2,593","2,583","2.21K","0.00%"
"12/14/2022","2,593","2,593","2,593","2,593","2.61K","0.00%"
"12/13/2022","2,593","2,593","2,593","2,573","6.52K","0.39%"
"12/12/2022","2,583","2,593","2,643","2,583","22.56K","-2.26%"
"12/09/2022","2,643","2,613","2,643","2,613","102.59K","0.76%"
"12/08/2022","2,623","2,573","2,623","2,543","164.26K","1.94%"
"12/07/2022","2,573","2,613","2,613","2,563","60.97K","-1.53%"
"12/06/2022","2,613","2,623","2,623","2,603","11.63K","-0.38%"
"12/05/2022","2,623","2,623","2,643","2,623","29.08K","0.00%"
"12/02/2022","2,623","2,643","2,643","2,603","4.91K","-0.75%"
"12/01/2022","2,643","2,643","2,643","2,593","26.77K","0.38%"
"11/30/2022","2,633","2,623","2,643","2,593","131.36K","-0.38%"
"11/29/2022","2,643","2,643","2,653","2,623","4.51K","0.00%"
"11/28/2022","2,643","2,643","2,643","2,613","31.39K","0.00%"
"11/25/2022","2,643","2,643","2,653","2,613","14.14K","0.00%"
"11/24/2022","2,643","2,593","2,643","2,593","9.83K","1.53%"
"11/23/2022","2,603","2,603","2,643","2,573","15.14K","0.00%"
"11/22/2022","2,603","2,613","2,613","2,593","11.13K","-0.38%"
"11/21/2022","2,613","2,593","2,623","2,593","12.74K","0.38%"
"11/18/2022","2,603","2,633","2,673","2,533","56.56K","-1.14%"
"11/17/2022","2,633","2,623","2,633","2,593","73.60K","0.38%"
"11/16/2022","2,623","2,613","2,623","2,553","87.04K","0.00%"
"11/15/2022","2,623","2,673","2,673","2,593","25.87K","-0.75%"
"11/14/2022","2,643","2,693","2,693","2,623","33.69K","-1.85%"
"11/11/2022","2,693","2,702","2,712","2,653","47.53K","-0.37%"
"11/10/2022","2,702","2,693","2,712","2,653","43.02K","0.37%"
"11/09/2022","2,693","2,643","2,732","2,563","87.64K","1.89%"
"11/08/2022","2,643","2,683","2,702","2,643","37.81K","-1.49%"
"11/07/2022","2,683","2,663","2,722","2,663","34.50K","0.75%"
"11/04/2022","2,663","2,812","2,812","2,653","225.43K","-5.32%"
"11/03/2022","2,812","2,842","2,892","2,792","371.73K","-1.05%"
"11/02/2022","2,842","2,583","2,982","2,583","773.85K","10.04%"
"11/01/2022","2,583","2,553","2,583","2,543","48.74K","1.17%"
"10/31/2022","2,553","2,563","2,563","2,523","34.60K","0.00%"
"10/28/2022","2,553","2,563","2,593","2,523","109.20K","-0.39%"
"10/27/2022","2,563","2,533","2,573","2,533","71.80K","0.78%"
"10/26/2022","2,543","2,533","2,573","2,523","99.28K","0.39%"
"10/25/2022","2,533","2,553","2,563","2,513","37.00K","-0.39%"
"10/24/2022","2,543","2,503","2,543","2,503","87.74K","1.59%"
"10/21/2022","2,503","2,463","2,513","2,463","107.40K","1.62%"
"10/20/2022","2,463","2,453","2,463","2,453","12.84K","0.41%"
"10/19/2022","2,453","2,453","2,473","2,443","55.86K","0.00%"
"10/18/2022","2,453","2,423","2,453","2,403","43.82K","1.65%"
"10/17/2022","2,413","2,433","2,443","2,393","21.56K","-1.63%"
"10/14/2022","2,453","2,433","2,453","2,423","13.34K","0.82%"
"10/13/2022","2,433","2,413","2,443","2,413","9.33K","-0.41%"
"10/12/2022","2,443","2,463","2,463","2,413","22.66K","-0.81%"
"10/11/2022","2,463","2,463","2,463","2,433","7.62K","0.00%"
"10/10/2022","2,463","2,453","2,463","2,443","33.19K","0.41%"
"10/07/2022","2,453","2,453","2,453","2,443","22.36K","-0.40%"
"10/06/2022","2,463","2,463","2,463","2,443","16.35K","0.00%"
"10/05/2022","2,463","2,463","2,463","2,443","92.46K","0.00%"
"10/04/2022","2,463","2,453","2,473","2,453","20.86K","0.00%"
"10/03/2022","2,463","2,463","2,463","2,443","3.51K","0.41%"
"09/30/2022","2,453","2,443","2,453","2,413","24.47K","0.00%"
"09/29/2022","2,453","2,463","2,463","2,443","33.09K","-0.40%"
"09/28/2022","2,463","2,463","2,463","2,453","1.50K","0.00%"
"09/27/2022","2,463","2,473","2,473","2,453","7.22K","0.41%"
"09/26/2022","2,453","2,463","2,483","2,453","17.75K","-0.81%"
"09/23/2022","2,473","2,473","2,493","2,453","50.44K","0.40%"
"09/22/2022","2,463","2,453","2,463","2,443","33.59K","0.41%"
"09/21/2022","2,453","2,473","2,473","2,453","50.94K","-0.81%"
"09/20/2022","2,473","2,483","2,483","2,463","25.87K","-0.40%"
"09/19/2022","2,483","2,463","2,493","2,463","19.35K","0.81%"
