"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2023","5,138","5,125","5,138","5,088","87.87M","0.98%"
"03/07/2023","5,088","5,075","5,138","5,063","70.48M","0.49%"
"03/06/2023","5,063","5,088","5,113","5,038","53.84M","0.75%"
"03/03/2023","5,025","5,100","5,125","5,013","88.63M","-1.71%"
"03/02/2023","5,113","5,075","5,150","5,075","73.02M","1.24%"
"03/01/2023","5,050","5,075","5,100","5,025","89.57M","1.00%"
"02/28/2023","5,000","5,038","5,075","5,000","146.44M","-1.48%"
"02/27/2023","5,075","5,038","5,075","5,025","39.61M","0.25%"
"02/24/2023","5,063","5,063","5,113","5,038","63.51M","0.50%"
"02/23/2023","5,038","4,988","5,050","4,963","177.53M","0.75%"
"02/22/2023","5,000","5,063","5,088","4,975","90.13M","-1.96%"
"02/21/2023","5,100","5,150","5,150","5,088","52.60M","-0.73%"
"02/20/2023","5,138","5,150","5,150","5,100","40.95M","-0.24%"
"02/17/2023","5,150","5,088","5,150","5,050","49.80M","1.23%"
"02/16/2023","5,088","5,113","5,138","5,063","49.61M","-0.49%"
"02/15/2023","5,113","5,150","5,175","5,050","90.23M","-1.45%"
"02/14/2023","5,188","5,225","5,225","5,138","32.26M","0.24%"
"02/13/2023","5,175","5,275","5,275","5,125","47.97M","0.49%"
"02/10/2023","5,150","5,225","5,225","5,075","81.11M","0.49%"
"02/09/2023","5,125","5,150","5,200","5,125","108.52M","0.49%"
"02/08/2023","5,100","5,063","5,113","5,050","75.66M","0.25%"
"02/07/2023","5,088","4,975","5,113","4,950","118.13M","3.04%"
"02/06/2023","4,938","4,963","5,025","4,875","109.10M","-0.50%"
"02/03/2023","4,963","4,875","4,975","4,875","108.13M","2.06%"
"02/02/2023","4,863","4,863","4,875","4,788","77.30M","0.26%"
"02/01/2023","4,850","4,975","5,025","4,838","165.73M","-2.51%"
"01/31/2023","4,975","5,013","5,050","4,938","137.34M","0.00%"
"01/30/2023","4,975","5,013","5,063","4,938","107.03M","-0.75%"
"01/27/2023","5,013","4,950","5,075","4,950","199.73M","2.04%"
"01/26/2023","4,913","4,888","4,938","4,875","71.18M","1.29%"
"01/25/2023","4,850","4,900","4,925","4,850","62.82M","-2.02%"
"01/24/2023","4,950","4,925","4,988","4,900","32.70M","-0.75%"
"01/20/2023","4,988","4,925","5,000","4,900","80.10M","2.31%"
"01/19/2023","4,875","4,800","4,913","4,763","70.23M","2.09%"
"01/18/2023","4,775","4,825","4,888","4,750","95.87M","-2.05%"
"01/17/2023","4,875","4,700","4,913","4,688","146.24M","4.84%"
"01/16/2023","4,650","4,550","4,675","4,550","132.49M","1.36%"
"01/13/2023","4,588","4,563","4,613","4,525","107.49M","-0.27%"
"01/12/2023","4,600","4,500","4,725","4,500","205.62M","2.79%"
"01/11/2023","4,475","4,538","4,588","4,450","225.94M","-3.50%"
"01/10/2023","4,638","4,750","4,775","4,588","192.00M","-4.63%"
"01/09/2023","4,863","4,875","4,925","4,800","67.26M","-0.77%"
"01/06/2023","4,900","4,863","4,900","4,800","44.10M","-0.25%"
"01/05/2023","4,913","5,025","5,025","4,863","84.95M","-2.00%"
"01/04/2023","5,013","5,013","5,038","4,988","38.58M","0.75%"
"01/03/2023","4,975","4,925","4,988","4,925","13.82M","0.76%"
"01/02/2023","4,938","4,963","4,988","4,938","7.07M","-0.50%"
"12/30/2022","4,963","5,000","5,025","4,963","40.66M","-0.50%"
"12/29/2022","4,988","4,950","4,988","4,938","56.98M","0.00%"
"12/28/2022","4,988","5,000","5,000","4,925","37.69M","0.25%"
"12/27/2022","4,975","5,025","5,025","4,938","46.28M","-1.00%"
"12/26/2022","5,025","4,988","5,025","4,975","19.58M","1.26%"
"12/23/2022","4,963","4,950","5,000","4,950","38.57M","-0.25%"
"12/22/2022","4,975","5,050","5,050","4,975","65.63M","-0.50%"
"12/21/2022","5,000","5,063","5,063","5,000","37.96M","-0.50%"
"12/20/2022","5,025","5,000","5,025","4,975","56.64M","0.50%"
"12/19/2022","5,000","5,000","5,038","4,950","88.02M","-0.99%"
"12/16/2022","5,050","4,913","5,050","4,913","430.64M","2.02%"
"12/15/2022","4,950","4,950","5,013","4,950","66.46M","-0.50%"
"12/14/2022","4,975","5,038","5,050","4,975","162.69M","0.51%"
"12/13/2022","4,950","4,888","5,000","4,888","200.59M","-0.50%"
"12/12/2022","4,975","4,913","5,000","4,888","165.80M","0.25%"
"12/09/2022","4,963","4,975","5,025","4,913","220.82M","-1.24%"
"12/08/2022","5,025","5,038","5,113","4,988","258.26M","-3.13%"
"12/07/2022","5,188","5,313","5,350","5,188","173.35M","-4.82%"
"12/06/2022","5,450","5,438","5,500","5,363","139.36M","0.23%"
"12/05/2022","5,438","5,325","5,500","5,288","167.73M","3.33%"
"12/02/2022","5,263","5,200","5,263","5,163","70.81M","1.20%"
"12/01/2022","5,200","5,263","5,325","5,200","118.05M","-1.19%"
"11/30/2022","5,263","5,163","5,400","5,163","234.34M","1.94%"
"11/29/2022","5,163","5,125","5,225","5,100","65.81M","1.98%"
"11/28/2022","5,063","5,088","5,138","5,063","54.06M","-0.49%"
"11/25/2022","5,088","5,113","5,113","5,050","64.42M","-0.49%"
"11/24/2022","5,113","5,113","5,150","5,100","73.13M","0.25%"
"11/23/2022","5,100","5,063","5,150","5,063","80.26M","0.74%"
"11/22/2022","5,063","5,025","5,125","5,025","79.85M","0.25%"
"11/21/2022","5,050","5,088","5,100","5,013","64.13M","-0.74%"
"11/18/2022","5,088","4,975","5,113","4,963","111.65M","2.78%"
"11/17/2022","4,950","4,925","5,013","4,925","167.63M","-1.00%"
"11/16/2022","5,000","5,050","5,088","4,950","128.29M","-2.44%"
"11/15/2022","5,125","5,150","5,150","5,050","68.66M","0.00%"
"11/14/2022","5,125","5,275","5,275","5,075","73.95M","-1.68%"
"11/11/2022","5,213","5,150","5,225","5,113","102.01M","3.22%"
"11/10/2022","5,050","5,025","5,075","5,000","53.26M","-0.49%"
"11/09/2022","5,075","5,025","5,075","5,025","47.78M","0.00%"
"11/08/2022","5,075","5,138","5,138","5,038","39.60M","-0.98%"
"11/07/2022","5,125","5,088","5,125","5,000","81.86M","0.99%"
"11/04/2022","5,075","5,013","5,075","5,000","61.49M","-0.25%"
"11/03/2022","5,088","4,975","5,100","4,975","105.33M","0.99%"
"11/02/2022","5,038","5,188","5,200","4,988","113.94M","-3.13%"
"11/01/2022","5,200","5,300","5,300","5,113","101.03M","-1.42%"
"10/31/2022","5,275","5,150","5,275","5,113","138.12M","3.43%"
"10/28/2022","5,100","5,063","5,113","5,050","83.86M","0.00%"
"10/27/2022","5,100","5,100","5,163","5,025","84.53M","0.00%"
"10/26/2022","5,100","5,113","5,125","5,000","70.25M","-0.24%"
"10/25/2022","5,113","5,138","5,225","5,113","83.42M","-0.24%"
"10/24/2022","5,125","5,163","5,250","5,125","102.17M","-0.97%"
"10/21/2022","5,175","5,000","5,225","4,963","183.99M","4.55%"
"10/20/2022","4,950","4,675","4,963","4,675","102.42M","4.49%"
"10/19/2022","4,738","4,688","4,788","4,663","71.54M","-0.26%"
"10/18/2022","4,750","4,750","4,788","4,725","67.90M","0.53%"
"10/17/2022","4,725","4,725","4,738","4,650","60.91M","0.53%"
"10/14/2022","4,700","4,825","4,825","4,688","106.77M","-0.79%"
"10/13/2022","4,738","4,750","4,775","4,663","58.83M","0.53%"
"10/12/2022","4,713","4,688","4,750","4,650","118.73M","1.34%"
"10/11/2022","4,650","4,713","4,713","4,625","71.93M","0.00%"
"10/10/2022","4,650","4,688","4,700","4,638","55.47M","-1.33%"
"10/07/2022","4,713","4,663","4,713","4,638","51.27M","1.07%"
"10/06/2022","4,663","4,650","4,663","4,613","43.28M","0.54%"
